listing,price,brand,size
"Ted Baker Black and Tan Satchel with Bamboo Handle NWT retail $195
          
      NWT",76.0,Ted Baker,OS
Lavorazione Artigiana Leather Brown Purse,56.0,Lavorazione Artigiana,OS
"Medium Pool Blue Telfar Bag
          
      NWT",480.0,Telfar,Medium
"MICHAEL KORS Mirella Medium Ombré Logo EW Tote Shoulder Bag
Navy 
NWT
          
      Boutique",141.0,Michael Kors,OS
Dooney & Bourke Chelsea Shopper Black Pebbled Leather Large Tote Handbag,127.0,Dooney & Bourke,OS
Kate Spade Adel Black leather Crossbody Bag,175.0,kate spade,OS
"Leather Charm Flower Bag Charm Genuine Leather Purse Keychain NEW FAST SHIP
          
      NWT",17.0,West Hills Studio,OS
Steve Madden Crossbody Bag Tan Saddle Messenger Handbag Purse Faux Leather Suede,30.0,Steve Madden,OS
Kate Spade Light Green Leather Dome Satchel‎ Large,50.0,kate spade,OS
PRADA Sailor Bellhop Bag Pin Brooch,150.0,Prada,OS
Billie Eilish H&M Fanny pack,20.0,H&M,OS
ALO Yoga Gray Camouflage Tote Bag,39.0,ALO Yoga,OS
Coach Taylor Exotic Flap Wristlet Leather Python Clutch Gray Ivory F50579 Snap,39.0,Coach,OS
Vera Bradley Clutch Boysenberry Purse Wristlet wallet,22.0,Vera Bradley,OS
Gracy & Al Black Leather Envelope Clutch,51.0,Gracy & Al,OS
2pc Vintage Tommy Hilfiger Faux Croc Shoulder Bag with Matching Coin Purse Set,30.0,Tommy Hilfiger,OS
